date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ,MA5,MA10,MA20,MA30,MA60,EMA12,EMA26,EMA50,BOLL_UPPER,BOLL_MID,BOLL_LOWER,BOLL_WIDTH,BOLL_PB,MACD,MACD_Signal,MACD_Histogram,K,D,J,RSI,MA_Signal,MA_Cross,BOLL_Signal,BOLL_Position,MACD_Cross,MACD_Position,KDJ_Cross,KDJ_Position,RSI_Signal,RSI_Position
2025-06-20,sh.600000,12.7800,13.0200,12.7300,13.0200,12.7400,69793426,903428590.6000,3,0.237800,1,2.197800,0,8.411440,2.230424,-9.561544,0.575148,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,,13.02,,,,0.0,0.0,0.0,100.0,100.0,100.0,,0,0,0,MIDDLE,0,NEUTRAL,0,OVERBOUGHT,0,NEUTRAL
2025-06-19,sh.600000,12.7800,12.8400,12.6400,12.7400,12.7800,43768050,557599592.6700,3,0.149100,1,-0.313000,0,8.230549,2.182458,-9.355920,0.562780,12.879999999999999,12.879999999999999,12.879999999999999,12.879999999999999,12.879999999999999,12.976923076923077,12.99925925925926,13.009019607843138,13.275979797464464,12.879999999999999,12.484020202535534,0.7919595949289295,0.3232233047033638,-0.02233618233618273,-0.004467236467236547,-0.017868945868946183,75.43859649122807,91.81286549707602,42.69005847953218,0.0,0,0,0,MIDDLE,-1,BEARISH,-1,NEUTRAL,0,OVERSOLD
2025-06-18,sh.600000,12.5600,12.8300,12.5100,12.7800,12.5400,69853954,890776691.5300,3,0.238000,1,1.913900,0,8.256391,2.189311,-9.385295,0.564547,12.846666666666666,12.846666666666666,12.846666666666666,12.846666666666666,12.846666666666666,12.94662721893491,12.983017832647464,13.000038446751251,13.149541778442678,12.846666666666666,12.543791554890653,0.6057502235520253,0.3899436367092967,-0.03639061371255359,-0.010851911916299955,-0.025538701796253633,67.9394564843481,83.85506249283338,36.10824446737752,13.333333333333115,0,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-17,sh.600000,12.5800,12.6500,12.4500,12.5400,12.5800,37369806,468354085.7300,3,0.127300,1,-0.318000,0,8.101341,2.148197,-9.209045,0.553945,12.77,12.77,12.77,12.77,12.77,12.884069185252617,12.9502016968958,12.981997723349242,13.163954312071843,12.77,12.376045687928157,0.7879086241436859,0.20808797752408306,-0.06613251164318257,-0.02190803186167648,-0.044224479781506086,50.55612888430223,72.75541795665634,6.157550739594001,7.162534435261577,0,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-16,sh.600000,12.3400,12.6000,12.2100,12.5800,12.3400,51085389,635504882.1700,3,0.174000,1,1.944900,0,8.127183,2.155049,-9.238420,0.555712,12.732,12.732,12.732,12.732,12.732,12.837289310598369,12.922779348977592,12.966233106747312,13.113156135986289,12.732,12.35084386401371,0.7623122719725792,0.30060664692347133,-0.08549003837922342,-0.034624433165185875,-0.050865605214037546,48.93042337142782,64.81375309491351,17.163763924456447,14.282919193895552,0,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-13,sh.600000,12.5000,12.5500,12.2800,12.3400,12.4600,61844935,764861363.2100,3,0.210700,1,-0.963100,0,7.972133,2.113935,-9.062170,0.545110,12.596,12.666666666666666,12.666666666666666,12.666666666666666,12.666666666666666,12.760783262814005,12.879610508312586,12.941674945698399,13.13428474444667,12.666666666666666,12.199048588886662,0.935236155560009,0.1507121065362771,-0.11882724549858104,-0.05146499563186491,-0.06736224986671613,37.97007648630165,55.86586089204289,2.1785076748191727,9.550069939922125,-1,-1,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-12,sh.600000,12.3500,12.5000,12.2300,12.4600,12.3500,47676653,592474539.1900,3,0.162400,1,0.890700,0,8.049658,2.134492,-9.150295,0.550411,12.540000000000001,12.637142857142857,12.637142857142857,12.637142857142857,12.637142857142857,12.714508914688773,12.84852824843758,12.922785732141598,13.091707012602315,12.637142857142857,12.182578701683399,0.9091283109189163,0.30515087362772136,-0.1340193337488067,-0.06797586325525327,-0.06604347049355343,35.60145016782251,49.111057317302766,8.582235868862,23.24519368148212,-1,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-11,sh.600000,12.3600,12.4200,12.2400,12.3500,12.3600,44114064,544126474.7300,3,0.150300,1,-0.080900,0,7.978593,2.115648,-9.069514,0.545552,12.453999999999999,12.60125,12.60125,12.60125,12.60125,12.658430620121269,12.811600230034795,12.900323546567419,13.068514073395027,12.60125,12.133985926604973,0.9345281467900541,0.2311477445992378,-0.15316960991352602,-0.08501461258690782,-0.0681549973266182,29.495616984309617,42.57257720630505,3.3416965403187504,20.222532977255085,-1,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-10,sh.600000,12.2800,12.4500,12.2600,12.3600,12.3100,49879732,616254415.7600,3,0.169900,1,0.406200,0,7.985054,2.117361,-9.076858,0.545993,12.418000000000001,12.574444444444445,12.574444444444445,12.574444444444445,12.574444444444445,12.61251821702569,12.778148361143328,12.879134387878501,13.040181614005895,12.574444444444445,12.108707274882995,0.9314743391229001,0.2697795468564681,-0.16563014411763888,-0.10113771889305403,-0.06449242522458484,25.836584162379204,36.993912858329765,3.521926770478075,21.225379672808003,-1,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-09,sh.600000,12.3100,12.3400,12.1000,12.3100,12.3200,56578144,691788948.9900,3,0.192800,1,-0.081200,0,7.952752,2.108796,-9.040139,0.543785,12.364,12.548,12.548,12.548,12.548,12.56597695286789,12.743470704762341,12.856815392275424,13.017874687786247,12.548,12.078125312213754,0.939749375572493,0.24674098628157054,-0.17749375189445082,-0.1164089254933334,-0.061084826401117426,26.68384890104563,33.55722487256838,12.937096958000126,19.87976637965896,-1,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-06,sh.600000,12.3300,12.3900,12.2100,12.3200,12.3200,43240203,531488384.3700,3,0.147300,1,0.000000,0,7.959212,2.110509,-9.047483,0.544226,12.36,12.478,12.52727272727273,12.52727272727273,12.52727272727273,12.528134344734369,12.712102504409575,12.835763808264623,12.993756674185454,12.52727272727273,12.060788780360005,0.9329678938254489,0.2778350909559724,-0.18396815967520652,-0.12992077232970803,-0.05404738734549849,27.83489470115373,31.649781482096834,20.20512113926752,20.959040305431017,-1,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-05,sh.600000,12.4200,12.4500,12.2800,12.3200,12.3800,37014523,456671679.6100,3,0.126100,1,-0.484700,0,7.959212,2.110509,-9.047483,0.544226,12.331999999999999,12.436,12.51,12.51,12.51,12.496113676313698,12.68305787445331,12.815537776567972,12.970592503787735,12.51,12.049407496212265,0.9211850075754704,0.2937439293545675,-0.18694419813961183,-0.1413254574916888,-0.04561874064792304,31.889929800769174,31.729830921654283,32.21012755899895,20.959040305431003,-1,0,0,MIDDLE,0,BEARISH,1,NEUTRAL,0,OVERSOLD
2025-06-04,sh.600000,12.4800,12.5300,12.3300,12.3800,12.5400,54685133,677861305.3000,3,0.186300,1,-1.275900,0,7.997975,2.120788,-9.091545,0.546877,12.338000000000001,12.396,12.5,12.5,12.5,12.478250033803898,12.660609143012325,12.798457863761385,12.946840762091673,12.5,12.053159237908327,0.8936815241833465,0.3657239780025035,-0.18235910920842713,-0.14953218783503647,-0.03282692137339066,39.926619867179525,34.462093903496026,50.855671794546524,27.733107147103638,-1,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,OVERSOLD
2025-06-03,sh.600000,12.3100,12.5700,12.2300,12.5400,12.3300,83435308,1038149397.0800,3,0.284300,1,1.703200,0,8.101341,2.148197,-9.209045,0.553945,12.373999999999999,12.396,12.502857142857142,12.502857142857142,12.502857142857142,12.487750028603298,12.651675132418818,12.788322261260939,12.932699945710505,12.502857142857142,12.073014340003779,0.8596856057067264,0.5432051634880208,-0.1639251038155205,-0.1524107710311333,-0.01151433278438721,57.82342033698485,42.24920271465896,88.97185558163665,42.00657356492189,-1,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,1,NEUTRAL
2025-05-30,sh.600000,12.2000,12.4100,12.1700,12.3300,12.1700,74173919,912668309.6900,3,0.252700,1,1.314700,0,7.965673,2.112222,-9.054827,0.544668,12.378,12.371,12.491333333333333,12.491333333333333,12.491333333333333,12.46348079343356,12.62784734483224,12.770348839250707,12.915049320871258,12.491333333333333,12.067617345795409,0.8474319750758497,0.3096209040036598,-0.16436655139868073,-0.15480192710464277,-0.009564624294037954,54.8610036289119,46.45313635274327,71.67673818124916,32.838841731833895,-1,0,0,MIDDLE,0,BEARISH,0,NEUTRAL,0,NEUTRAL
