date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ,MACD,MACD_Signal,MACD_Histogram,EMA12,EMA26,BOLL_MID,BOLL_UPPER,BOLL_LOWER,BOLL_WIDTH,BOLL_PB
2025-06-20,sz.002173,13.9600,14.3400,12.8400,13.05,13.5900,153384428,2071297060.9800,3,36.844300,1,-3.973500,0,-54.890516,7.127102,-14.912827,3.267826,0.0,0.0,0.0,13.05,13.05,13.05,,,,
2025-06-19,sz.002173,12.2900,13.5900,12.0000,13.59,12.3500,132299512,1744817901.7500,3,31.779500,1,10.040500,0,-57.161847,7.422017,-15.529910,3.403046,0.043076923076924345,0.00861538461538487,0.03446153846153947,13.133076923076924,13.09,13.32,14.08367532368147,12.55632467631853,1.5273506473629404,0.6767766952966369
2025-06-18,sz.002173,13.0900,13.9000,12.3400,12.35,12.6400,153043763,2015963658.9500,3,36.762500,1,-2.294300,0,-51.946197,6.744805,-14.112905,3.092540,-0.02258163488932574,0.0023759807144427478,-0.02495761560376849,13.012603550295859,13.035185185185185,12.996666666666668,14.240102766083655,11.75323056724968,2.486872198833975,0.2399678733109517
2025-06-17,sz.002173,12.6400,12.6400,12.6400,12.64,11.4900,24126051,304953284.6400,3,5.795300,1,10.008700,0,-53.165986,6.903185,-14.444302,3.165158,-0.050632281331381535,-0.008225671694722108,-0.042406609636659424,12.95527992717342,13.005912208504801,12.9075,13.983588596104738,11.831411403895263,2.152177192209475,0.3757072600860627
2025-06-16,sz.002173,11.4900,11.9800,11.4100,11.49,10.9700,70198900,816376114.4900,3,16.862400,1,4.740200,0,-48.328891,6.275127,-13.130144,2.877189,-0.16377016921240717,-0.03933457119825912,-0.12443559801414805,12.729852246069816,12.893622415282223,12.624,14.197505640282232,11.050494359717769,3.147011280564463,0.1396581076771353
2025-06-13,sz.002173,11.4500,11.5300,10.8200,10.97,11.5000,49092000,545051754.9800,3,11.792300,1,-4.608700,0,-46.141683,5.991135,-12.535917,2.746977,-0.29202611932759837,-0.08987288082412698,-0.2021532385034714,12.45910574667446,12.751131866002059,12.348333333333334,14.298858049061556,10.397808617605113,3.9010494314564426,0.14667627069295092
2025-06-12,sz.002173,11.0400,11.9800,11.0000,11.5,11.1300,64880434,748312573.9800,3,15.584900,1,3.324300,0,-48.370953,6.280588,-13.141572,2.879693,-0.34690441506653613,-0.14127918767260883,-0.2056252273939273,12.311551016416852,12.658455431483388,12.227142857142857,14.119679577551533,10.33460613673418,3.785073440817353,0.30789200830252933
2025-06-11,sz.002173,11.4000,11.4900,11.0800,11.13,11.3900,45987100,515062563.0000,3,11.046500,1,-2.282700,0,-46.814670,6.078517,-12.718756,2.787042,-0.41546257366466044,-0.19611586487101917,-0.21934670879364127,12.129773936968105,12.545236510632765,12.09,14.006216510284187,10.173783489715813,3.8324330205683736,0.24950638540902012
2025-06-10,sz.002173,11.5700,12.0800,11.2100,11.39,11.5700,65932451,770594632.6500,3,15.837600,1,-1.555700,0,-47.908274,6.220513,-13.015870,2.852148,-0.4437008737211432,-0.245632866641044,-0.1980680070800992,12.015962562049936,12.459663435771079,12.012222222222222,13.864431113729271,10.160013330715174,3.7044177830140974,0.33203238439376265
2025-06-09,sz.002173,11.4100,11.7500,11.3400,11.57,11.6100,56118985,647509632.4000,3,13.480300,1,-0.344500,0,-48.665384,6.318818,-13.221564,2.897222,-0.4464095034095994,-0.2857881939947551,-0.16062130941484432,11.947352937119177,12.393762440528777,11.968,13.736534861277987,10.199465138722013,3.537069722555973,0.3874774796035417
